sku,stock_units,daily_sales,lead_time_days
KT-SCALE-5K-US,520,30.7,14
KT-FROTH-01-US,1300,46,12
KT-SEAL-12-US,39,13.2,24
HM-VAC-02-US,31,22.4,28
HM-LIGHT-6-US,1100,37.8,18
HM-BAG-10-US,650,26.3,20
PET-ROLL-01-US,1600,57.1,16
PET-FILT-12-US,79,17.6,22
PET-BOWL-S-US,480,15.5,18
TR-CUBE-6-US,900,29.4,26
TR-WASH-L-US,48,11.2,24
TR-LUG-50-US,900,41.7,15
FT-BAND-5-US,690,25.1,20
FT-STRAP-2-US,200,9.3,16
FT-BALL-SET-US,17,17.4,19
OF-STAND-AL-US,720,19.8,25
OF-CABLE-16-US,248,28.1,14
OF-MAT-XL-US,410,12.1,23
OD-LANT-2-US,24,16.3,30
OD-DRY-20-US,400,10.2,27
