sku,rating,refund_requested,title,message
HM-VAC-02-US,1,true,使用一周后无法充电,吸尘器刚开始很好用，但现在完全充不进电。我试了两个插座，也清洁了充电触点。如果不能尽快解决，希望办理退款。
KT-SCALE-5K-US,2,false,重复称重读数会漂移,同一件物品连续称两次会相差几克。台面是水平的，我也更换了新电池。
KT-FROTH-01-US,4,false,奶泡细腻，但按键需要适应,打出的奶泡很细腻，续航也不错，不过第一次使用时不太容易理解如何切换档位。
KT-SEAL-12-US,2,true,冷冻后密封口开了,两个袋子放进冰箱一晚后都漏气了。我按说明操作，也在食物上方留足了空间。
HM-LIGHT-6-US,3,false,人体感应过于灵敏,灯光够亮，安装也简单，但有人从走廊经过时就会亮，不只是靠近橱柜才触发。
HM-BAG-10-US,1,true,包装内缺少阀门盖,其中一个大号收纳袋没有阀门盖，整套无法完整使用。请告知可以补发还是退款。
PET-ROLL-01-US,5,false,终于能把沙发上的猫毛清干净,比一次性粘毛纸清理得更干净，集毛仓也容易倒。我已经连续用了三周。
PET-FILT-12-US,2,false,尺寸不适配我的饮水机,滤芯看起来和商品图很像，但比我的饮水机托盘宽了几毫米，放不进去。
PET-BOWL-S-US,4,false,确实有用，但比预想的小,小狗现在吃得慢多了。标注尺寸没错，不过实际盛粮区域比常见的小号碗更小。
TR-CUBE-6-US,1,true,第一次旅行拉链就脱开,第一次旅行装衬衫时压缩拉链就脱开了，收纳袋并没有塞满。我下周出发前需要换货。
TR-WASH-L-US,5,false,能装下一周的洗漱用品,干湿分区把少量渗漏控制住了，挂钩在酒店浴室里使用也很牢固。
TR-LUG-50-US,3,false,称重准确，但读数时间太短,读数和机场秤一致，不过放下沉重行李箱之前屏幕就熄灭了，很难及时看清。
FT-BAND-5-US,2,true,最轻档阻力带断裂,正常热身时最轻的一条在手柄附近断了。虽然没有人受伤，但我不敢继续使用这套产品。
FT-STRAP-2-US,4,false,简单而且固定牢靠,两端套环可以牢牢固定瑜伽垫，短途步行时背带也不会勒肩膀。
OF-STAND-AL-US,3,false,桌面很稳，但转轴太紧,支架可以稳稳托住我的14英寸笔记本，但转轴非常紧，开会时调节角度需要两只手。
OF-CABLE-16-US,1,true,胶贴一夜后脱落,我用酒精清洁桌面并等到完全干燥，但第二天早上还是有好几个理线夹脱落了。
OD-LANT-2-US,2,false,其中一盏灯明显更暗,两盏灯都充满了电，但其中一盏在所有档位都明显更暗，另一盏工作正常。
OD-DRY-20-US,5,false,皮划艇途中衣物保持干燥,经历多次水花和一阵小雨后，袋里的毛巾和替换衣物仍然是干的。
