sku,asin,source_title,category,price,cost,monthly_sales,rating,review_count,competition_score,stock_units,daily_sales,lead_time_days
KT-SCALE-5K-US,B0D7K2M4Q1,炉边优选 不锈钢电子厨房秤，11磅量程,厨房秤,22.99,7.85,920,4.5,684,48,545,29.8,14
KT-FROTH-01-US,B0C9R6T2L8,松沫 三档充电式奶泡器,奶泡器,18.49,5.62,1380,4.3,1247,72,1260,44.2,12
KT-SEAL-12-US,B0D3V8N5S2,炉边优选 小型真空封口机，附12个密封袋,真空封口机,49.99,19.4,410,4.2,219,39,45,13.6,24
HM-VAC-02-US,B0D8H4P7X3,北境家居 无线手持吸尘器，附2个滤芯,手持吸尘器,42.99,17.65,655,4.1,392,58,38,21.9,28
HM-LIGHT-6-US,B0C6W9J3F5,北境家居 人体感应橱柜灯，暖白光6只装,橱柜灯,34.99,12.8,1110,4.4,1806,76,1125,36.5,18
HM-BAG-10-US,B0D2Q7A6E9,清巢 加厚真空收纳袋10只装，附手泵,真空收纳袋,27.99,8.95,780,4.3,963,64,620,25.7,20
PET-ROLL-01-US,B0C8M5U2K7,爪印家 可重复使用宠物粘毛滚筒,宠物粘毛器,19.99,5.35,1720,4.6,3214,81,1550,55.4,16
PET-FILT-12-US,B0D6B3R9T4,爪印家 猫咪饮水机替换滤芯12片装,饮水机滤芯,25.49,7.7,540,4.4,577,43,88,18.1,22
PET-BOWL-S-US,B0D1L8Y5C6,爪印家 防滑慢食狗碗，小号,慢食碗,16.99,4.92,465,4.2,348,51,455,14.9,18
TR-CUBE-6-US,B0C7P4N8D2,漫旅 可扩容旅行收纳袋6件套,旅行收纳袋,31.99,10.75,890,4.5,1388,69,880,31.7,26
TR-WASH-L-US,B0D9S2G5V7,漫旅 大容量悬挂洗漱包，带干湿分区,洗漱包,26.99,8.6,335,4.4,176,35,55,10.8,24
TR-LUG-50-US,B0C5E8Q1M4,漫旅 电子行李秤，110磅量程,行李秤,15.99,4.25,1240,4.5,2456,84,920,42.5,15
FT-BAND-5-US,B0D4J7F2A8,流光健身 五档阻力带套装，附收纳袋,阻力带,23.99,6.95,760,4.3,902,74,710,24.6,20
FT-STRAP-2-US,B0C3T6K9H1,流光健身 可调节瑜伽垫背带2条装,瑜伽配件,14.99,3.8,290,4.5,144,28,190,8.7,16
FT-BALL-SET-US,B0D5N1R8W3,流光健身 深层按摩球套装，附收纳袋,按摩球,17.99,4.7,520,4.4,428,46,22,16.8,19
OF-STAND-AL-US,B0C4X7B2P9,桌境 可折叠铝合金笔记本支架,笔记本支架,38.99,14.9,610,4.6,1088,63,680,20.4,25
OF-CABLE-16-US,B0D2M6C8L5,桌境 硅胶理线夹16只装,理线器,13.49,3.25,845,4.3,691,79,260,27.3,14
OF-MAT-XL-US,B0D8Q1S4Y6,桌境 双面素皮桌垫，35×17英寸,桌垫,29.99,9.8,380,4.4,257,41,390,11.6,23
OD-LANT-2-US,B0C9V3D7N2,溪野 可充电露营灯2只装,露营灯,36.99,13.6,470,4.2,534,57,30,18.9,30
OD-DRY-20-US,B0D7A5K2R8,溪野 20升防水袋，附手机防水袋,防水袋,28.99,9.25,315,4.5,204,33,420,9.4,27
